2011,JP,SMDAM Active ETF Japan High Dividend Equity
2012,JP,iShares 0-3 Month US Treasury Bond ETF
2013,JP,iShares US High Dividend ETF
2014,JP,iShares US Dividend Growth ETF
2015,JP,iFreeETF US Treasury Bond 7-10 Year (NON HEDGED)
2016,JP,iFreeETF US Treasury Bond 7-10 Year (JPY HEDGED)
2017,JP,iFreeETF JPX Prime 150
2018,JP,Global X US REIT Top 20 ETF
2019,JP,Global X U.S. Preferred Security ETF (Bi-monthly dividend type)
201A,JP,iShares Nifty 50 ETF
202A,JP,"MAMEZO DIGITAL HOLDINGS CO.,LTD."
203A,JP,"Shunbin Co.,Ltd."
204A,JP,"TaiyoPackage Co.,Ltd."
2053,JP,"CHUBU SHIRYO CO.,LTD."
2055,JP,"NICHIWA SANGYO CO.,LTD."
205A,JP,LOGOS HOLDINGS INC.
2060,JP,"FEED ONE CO.,LTD."
206A,JP,"PRISM BioLab Co.,LTD"
207A,JP,Rising Corporation Inc.
2080,JP,PBR Improvement over 1x ETF
2081,JP,Strategic Shareholding Disposal Promotion ETF
2082,JP,Investor-Management Unite as One ETF
2083,JP,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund
2084,JP,NEXT FUNDS Japan High Dividend Equity Active Exchange Traded Fund
2085,JP,MAXIS High Dividend Japan Equity Actively Managed ETF
2086,JP,NZAM ETF S&P500 (JPY Hedged)
2087,JP,NZAM ETF NASDAQ100 (JPY Hedged)
2088,JP,NZAM ETF NY Dow30 (JPY Hedged)
2089,JP,NZAM ETF DAX (JPY Hedged)
208A,JP,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.
2090,JP,NZAM ETF US Treasury 7-10Y (JPY Hedged)
2091,JP,NZAM ETF German Government Bond 7-10Y (JPY Hedged)
2092,JP,NZAM ETF France Government Bond 7-10Y (JPY Hedged)
2093,JP,Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge)
2094,JP,TSE REIT Inverse ETF
2095,JP,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged)
2096,JP,Global X Office J-REIT ETF
2097,JP,Global X Residential J-REIT ETF
2098,JP,Global X Hotel & Retail J-REIT ETF
209A,JP,Onodani Machine Co.Ltd
2107,JP,"Toyo Sugar Refining Co.,Ltd."
2108,JP,"Nippon Beet Sugar Manufacturing Co.,Ltd."
2109,JP,"Mitsui DM Sugar Holdings Co.,Ltd."
210A,JP,iFreeETF Nikkei High Yield REIT Index
2112,JP,"Ensuiko Sugar Refining Co.,Ltd."
2114,JP,Fuji Nihon Corporation
2117,JP,"WELLNEO SUGAR Co.,Ltd."
211A,JP,Cados Corporation
